pet_id,shelter_name,shelter_state,amount,method,new_donor,donor_source
997831,Saint Bernard Rescue Foundation Inc. - Pennsylvania,4,1,6,0,12
997831,Saint Bernard Rescue Foundation Inc. - Pennsylvania,4,1,6,0,4
893515,Tornado Alley Bulldog Rescue,3,1,6,1,12
765169,No Stray Left Behind,1,1,5,0,12
702879,Heidi's Legacy Dog Rescue,3,1,6,0,12
702877,Animals Rule Placement Foundation,1,1,5,0,12
677899,Guardians of the Green Mile Inc,2,1,6,1,12
693359,Santana's Hope 4 Paws/ Friends of Steelville Pound,2,1,6,1,12
655090,Bulldog Haven NW,1,1,6,0,12
655090,Bulldog Haven NW,1,1,6,0,12
652501,True & Faithful Pet Rescue Mission,3,1,6,0,12
652501,True & Faithful Pet Rescue Mission,3,1,6,0,12
666717,Toccoa-Stephens County Humane Shelter,3,1,5,0,12
667118,Almost Home: Humane Society of North Central Iowa,2,1,6,0,12
652501,True & Faithful Pet Rescue Mission,3,1,5,0,12
652501,True & Faithful Pet Rescue Mission,3,1,5,0,12
652501,True & Faithful Pet Rescue Mission,3,1,6,0,12
640819,SRGDRR Inc aka Save Rocky the Great Dane Rescue and Rehab,3,1,1,0,12
570755,Hickory Hill K-9 Rescue,3,1,5,0,12
570755,Hickory Hill K-9 Rescue,3,1,6,0,12
616641,Marley's Mutts Dog Rescue,1,1,5,0,12
616641,Marley's Mutts Dog Rescue,1,1,5,0,12
616641,Marley's Mutts Dog Rescue,1,1,1,0,12
616641,Marley's Mutts Dog Rescue,1,1,1,0,12
618460,SRGDRR Inc aka Save Rocky the Great Dane Rescue and Rehab,3,1,1,0,12
616641,Marley's Mutts Dog Rescue,1,1,1,0,12
616641,Marley's Mutts Dog Rescue,1,1,1,0,12
602926,Rescued Treasures Pet Adoptions,4,1,1,0,12
602926,Rescued Treasures Pet Adoptions,4,1,1,0,12
541920,Waverly Animal Shelter,3,1,5,0,12
541920,Waverly Animal Shelter,3,1,1,0,12
541920,Waverly Animal Shelter,3,1,1,0,12
541920,Waverly Animal Shelter,3,1,5,1,12
434814,Winnebago County Animal Services,2,1,5,1,12
502689,Demo Account,1,1,5,0,12
445519,Southern California Bulldog Rescue,1,1,1,0,12
511110,Southern California Bulldog Rescue,1,1,5,1,12
421270,Casa del Toro Pit Bull Rescue,2,1,5,0,12
445519,Southern California Bulldog Rescue,1,1,6,1,12
221757,Saving The Animals Together,3,1,6,0,12
411675,Hope Animal Rescues,2,1,6,1,12
330188,Rompin Paws Rescue,1,1,3,1,12
330188,Rompin Paws Rescue,1,1,5,1,12
245007,A Way For a Stray Rescue,3,1,3,1,12
234746,The REAL Bark,1,1,5,0,12
234746,The REAL Bark,1,1,5,0,12
168463,Southern California Bulldog Rescue,1,1,5,1,12
138104,Southern California Bulldog Rescue,1,1,5,1,12
80997,Don't Bully Me Rescue,3,1,6,0,12
81649,No Kill Kern,1,1,6,1,12
81637,Southern Souls Rescue,3,1,8,1,12
81577,Southern California Bulldog Rescue,1,1,8,1,12
81577,Southern California Bulldog Rescue,1,1,8,1,12
876052,Sebring Angels,3,2,6,1,12
677899,Guardians of the Green Mile Inc,2,2,5,0,12
640819,SRGDRR Inc aka Save Rocky the Great Dane Rescue and Rehab,3,2,6,0,12
640819,SRGDRR Inc aka Save Rocky the Great Dane Rescue and Rehab,3,2,5,1,12
602926,Rescued Treasures Pet Adoptions,4,2,5,0,12
541920,Waverly Animal Shelter,3,2,5,0,12
511109,Forever Friends Humane Society,3,2,5,0,12
387870,Cheshire Abbey,3,2,5,1,12
359086,4paws4hope,4,2,3,1,12
40410,"Mostly Muttz Rescue, Inc.",4,2,6,1,12
154252,Utah Valley Animal Rescue,1,2,5,0,12
168463,Southern California Bulldog Rescue,1,2,5,1,12
81534,Don't Bully Me Rescue,3,2,8,0,12
81560,Murray County Humane Society,3,2,8,1,12
81360,Fort Bend Pets Alive!,3,2,8,1,12
80905,Kissabully Rescue,1,2,8,0,12
511108,Forever Friends Humane Society,3,2.49,3,0,12
1121509,Rescue Dogs Rock NYC,4,3,6,0,2
1121510,Defensa Animal de Rincon,5,3,5,0,2
1105601,Defensa Animal de Rincon,5,3,5,0,2
1055268,True & Faithful Pet Rescue Mission,3,3,5,1,2
1074164,Road Dogs and Rescue,1,3,5,0,2
1050564,ACTion Program For Animals,1,3,5,0,2
1074167,Pflugerville Pets Alive!,3,3,5,0,2
966767,Corridor Rescue Inc.,3,3,5,0,12
943276,Heidi's Legacy Dog Rescue,3,3,5,1,12
746740,Louisiana Baby Mommas,3,3,5,0,12
750247,"Dogue de Bordeaux Rescue, Inc",1,3,6,0,12
750245,"Dogue de Bordeaux Rescue, Inc",1,3,6,0,12
750248,"Dogue de Bordeaux Rescue, Inc",1,3,6,1,12
677899,Guardians of the Green Mile Inc,2,3,1,0,12
616641,Marley's Mutts Dog Rescue,1,3,1,0,12
602926,Rescued Treasures Pet Adoptions,4,3,5,0,12
526185,Stickneys Toy Breed Rescue and Retirement Sanctuary,2,3,6,1,12
445519,Southern California Bulldog Rescue,1,3,1,0,12
405275,Defensa Animal de Rincon,5,3,6,0,12
452405,"Ewenity Farm Border Collie Haven, Inc.",3,3,5,0,12
445519,Southern California Bulldog Rescue,1,3,5,1,12
445519,Southern California Bulldog Rescue,1,3,5,0,12
405275,Defensa Animal de Rincon,5,3,5,0,12
405275,Defensa Animal de Rincon,5,3,5,0,12
256925,Bulldog Haven NW,1,3,5,0,12
245007,A Way For a Stray Rescue,3,3,5,0,12
195895,Southern California Bulldog Rescue,1,3,5,1,12
81581,Ruff Love Rescue,3,3,8,1,12
80966,West Coast Animal Rescue,1,3,8,1,12
81539,Ruff Love Rescue,3,3,8,1,12
80988,Pflugerville Pets Alive!,3,3,8,0,12
1028767,"Mostly Muttz Rescue, Inc.",4,4,5,0,2
1055268,True & Faithful Pet Rescue Mission,3,4,5,0,12
1055267,Road Dogs and Rescue,1,4,6,0,9
823830,Collar of Hope,1,4,6,0,9
776300,Marley's Mutts Dog Rescue,1,4,6,1,9
652501,True & Faithful Pet Rescue Mission,3,4,5,0,12
1121509,Rescue Dogs Rock NYC,4,5,5,0,2
1121509,Rescue Dogs Rock NYC,4,5,5,0,2
1072263,"Their Lives Matter, Inc.",3,5,7,0,2
1069792,"Their Lives Matter, Inc.",3,5,7,0,2
1121509,Rescue Dogs Rock NYC,4,5,5,1,1
1121509,Rescue Dogs Rock NYC,4,5,5,0,9
1134305,Extraordinary Dogs Inc.,1,5,2,1,4
1128636,True & Faithful Pet Rescue Mission,3,5,5,1,9
1118634,Sweetwater Valley Dog Rescue,3,5,3,1,9
997832,Saint Bernard Rescue Foundation Inc. - Pennsylvania,4,5,5,0,9
1128636,True & Faithful Pet Rescue Mission,3,5,5,1,9
997832,Saint Bernard Rescue Foundation Inc. - Pennsylvania,4,5,6,0,2
1090366,"Their Lives Matter, Inc.",3,5,7,0,2
1090366,"Their Lives Matter, Inc.",3,5,7,1,12
1059271,Southern Souls Rescue,3,5,5,0,5
1118383,Operation Pets Alive,3,5,3,1,7
997832,Saint Bernard Rescue Foundation Inc. - Pennsylvania,4,5,5,0,2
1105601,Defensa Animal de Rincon,5,5,5,1,7
997832,Saint Bernard Rescue Foundation Inc. - Pennsylvania,4,5,6,0,2
1059271,Southern Souls Rescue,3,5,5,0,2
1090826,Justice 4 Mutts,3,5,5,0,2
1090826,Justice 4 Mutts,3,5,5,0,2
1090366,"Their Lives Matter, Inc.",3,5,7,0,2
1072263,"Their Lives Matter, Inc.",3,5,7,0,2
1080099,"Their Lives Matter, Inc.",3,5,7,0,2
1069793,"Their Lives Matter, Inc.",3,5,7,0,2
1044735,"Their Lives Matter, Inc.",3,5,7,0,2
1090826,Justice 4 Mutts,3,5,5,1,9
1090366,"Their Lives Matter, Inc.",3,5,7,1,9
