"SeqNum","MOSTYP","MRELGE","MSKA","MOSHOO","MSKB1","MOPLHO","MAANTH","MGODRK","MGEMOM","MFALLE","MSKB2","MAUT0","MAUT1","MGEMLE","MAUT2","MGODPR","MINKGE","MSKC","MHHUUR","MFWEKI","PWAPAR","PPERSA","PAANHA","AMOTSC","APERSA","AWAPAR","Resp"
1,17,3,2,9,0,5,1,2,6,1,7,1,2,5,1,8,8,1,0,3,0,0,0,0,0,1,0
2,21,2,2,9,1,4,0,4,5,0,4,0,5,0,2,7,6,3,2,4,0,0,0,0,0,1,0
3,21,2,2,9,0,4,4,4,2,0,4,0,7,0,7,7,9,0,0,4,0,0,0,0,0,1,0
4,34,3,3,4,2,3,2,3,4,3,2,0,3,1,5,9,7,2,0,4,0,0,0,0,0,1,0
5,24,4,2,1,1,4,2,4,4,5,0,4,0,0,4,6,5,4,0,3,0,0,0,0,0,1,0
6,7,2,1,6,0,5,3,5,2,0,4,0,4,2,9,5,9,0,0,3,0,0,0,0,0,0,0
7,23,3,2,10,2,2,0,3,6,0,5,0,4,1,6,8,9,0,0,5,0,0,0,0,0,0,0
8,17,2,3,9,0,7,0,5,4,0,6,0,2,5,0,4,6,3,0,3,0,0,0,0,1,0,0
9,17,2,4,9,0,1,3,3,3,0,8,0,1,8,9,5,7,2,0,3,0,0,0,0,0,0,0
10,36,3,3,4,3,5,2,2,6,0,5,0,3,3,0,6,6,3,1,7,0,0,0,0,0,1,0
11,35,4,3,4,1,4,0,3,6,4,3,0,9,0,0,6,5,4,2,7,0,0,0,0,0,0,0
12,34,3,3,4,1,3,2,3,5,1,1,0,5,1,6,7,4,5,1,4,0,0,0,0,0,1,0
14,25,3,3,1,0,5,1,4,5,2,4,1,2,2,5,7,8,1,1,4,0,0,0,0,0,0,0
15,7,1,2,6,0,6,5,3,1,2,2,0,4,3,9,5,5,4,0,3,0,0,0,0,0,1,0
16,17,2,3,9,0,7,0,5,4,0,6,0,2,5,0,4,6,3,0,3,0,0,0,0,0,1,0
17,22,2,3,10,0,6,0,6,3,2,2,0,4,0,6,7,4,5,2,4,0,0,0,0,0,0,0
18,6,3,3,6,0,5,0,2,7,2,7,0,1,1,4,6,7,2,0,2,0,0,0,0,0,1,0
19,38,4,2,4,2,4,1,3,6,5,1,0,3,0,4,7,5,4,0,6,0,0,0,0,0,1,0
20,15,2,4,8,0,2,0,6,3,0,9,0,2,4,9,7,9,0,0,1,0,0,0,0,1,0,0
21,17,4,3,9,0,6,0,3,6,0,9,3,0,6,9,7,9,0,0,3,0,0,0,0,0,0,0
22,17,3,3,9,0,4,0,2,7,0,7,2,4,0,0,7,9,0,0,3,0,0,0,0,0,1,0
23,38,3,2,4,1,7,1,3,6,3,1,0,2,0,4,7,5,4,0,6,0,0,0,0,0,1,0
24,18,3,2,9,0,7,0,4,5,0,7,0,2,4,2,5,9,0,0,6,0,0,0,0,0,0,0
25,38,4,3,4,0,4,1,3,6,1,2,0,3,3,1,8,4,5,0,6,0,0,0,0,0,0,0
26,17,3,3,9,0,6,2,3,5,1,6,1,4,2,2,7,7,2,0,3,0,0,0,0,0,1,0
27,21,3,3,9,0,5,0,3,6,3,2,0,5,2,8,9,5,4,2,4,0,0,0,0,0,0,0
28,24,3,3,1,0,3,0,4,5,2,7,5,0,2,2,7,7,2,0,3,0,0,0,0,0,1,0
29,15,4,2,8,0,9,0,0,9,0,9,2,0,3,9,3,7,2,0,1,0,0,0,0,1,0,0
30,17,2,3,9,0,7,4,1,5,0,7,1,2,6,8,5,8,1,0,3,0,0,0,0,0,1,0
